4-1	僕はもう夢中。
4-0	もう僕は夢中。
7-1	とりあえず中学教師を目指してない俺だけど
7-0	中学教師をとりあえず目指してない俺だけど
21-1	今もまだ覚えているよ
21-0	まだ今も覚えているよ
25-0	東京の大学にこの春から通っている１年生です。
25-1	この春から東京の大学に通っている１年生です。
29-1	寝タバコなんかよりタコ足配線のパチパチ火花の方が怖いよ
29-0	タコ足配線のパチパチ火花の方が寝タバコなんかより怖いよ
30-0	ムチがふぬけた国民には必要なんだよ！
30-1	ふぬけた国民にはムチが必要なんだよ！
31-1	この中に入ることはなかなか難しいですよ？？
31-0	なかなかこの中に入ることは難しいですよ？？
32-0	高卒でそんな大学なら就職すればよかったんです
32-1	そんな大学なら高卒で就職すればよかったんです
34-0	プチ裏技集１．マリオにマリオがなるとき
34-1	プチ裏技集１．マリオがマリオになるとき
40-1	職種なんて何だって大丈夫です。
40-0	何だって職種なんて大丈夫です。
46-0	１０年くらいラボにはいた。
46-1	ラボには１０年くらいいた。
65-0	女性ファンも若いころは多く
65-1	若いころは女性ファンも多く
66-1	渋谷から一番近いとこ無い？
66-0	一番渋谷から近いとこ無い？
68-0	どこもマルハンは１８時までの自粛営業をしている
68-1	マルハンはどこも１８時までの自粛営業をしている
69-0	５０００ｍで１５分３０秒台をまずは目指します。
69-1	まずは５０００ｍで１５分３０秒台を目指します。
71-0	なんだか幸せな気持ちに自分もなりますよね♪
71-1	自分もなんだか幸せな気持ちになりますよね♪
72-0	ファスナー付きのポケットが上部ふたの裏側には付属。
72-1	上部ふたの裏側にはファスナー付きのポケットが付属。
80-0	感銘を地元や砂丘へのこだわりにも受ける。
80-1	地元や砂丘へのこだわりにも感銘を受ける。
82-0	敷居が正直高いです。
82-1	正直敷居が高いです。
84-0	自分に小物がちゃんとなじんでいるかどうかです。
84-1	小物が自分にちゃんとなじんでいるかどうかです。
86-0	ＷＩＦＩで今は利用しているんだけど
86-1	今はＷＩＦＩで利用しているんだけど
87-0	イリノイ州のＤａｎｖｉｌｌｅで少年期を過ごす。
87-1	少年期をイリノイ州のＤａｎｖｉｌｌｅで過ごす。
88-1	今年の常総と去年の常総はどっちが良いんだろ？
88-0	どっちが今年の常総と去年の常総は良いんだろ？
90-1	交差点からちょっと裏に入った辺り。
90-0	裏にちょっと交差点から入った辺り。
93-0	日本の演奏家にどれだけあなたは詳しい？
93-1	あなたはどれだけ日本の演奏家に詳しい？
94-0	以下に商品の検索結果３，１７８件中３１〜６０件を表示
94-1	商品の検索結果３，１７８件中３１〜６０件を以下に表示
102-1	さと０８０８さんはＣ４１０さんを良い落札者と評価しました。
102-0	Ｃ４１０さんをさと０８０８さんは良い落札者と評価しました。
103-0	登録してねー☆どんどんお気に入りにミ
103-1	お気に入りにどんどん登録してねー☆ミ
104-1	川越街道で惡龍青年同盟の街宣車とすれ違ったぞ
104-0	惡龍青年同盟の街宣車と川越街道ですれ違ったぞ
116-1	近頃はデータカードダスが大ブーム。
116-0	データカードダスが近頃は大ブーム。
121-0	ウェブサイトを日本メイクアップ技術検定協会はリニューアルしました。
121-1	日本メイクアップ技術検定協会はウェブサイトをリニューアルしました。
122-0	詩を気分で配信します
122-1	気分で詩を配信します
123-0	カテゴリープラグインの詳細設定をプラグイン管理ページでクリックして編集ページに移動。
123-1	プラグイン管理ページでカテゴリープラグインの詳細設定をクリックして編集ページに移動。
124-0	いよいよブラジルＷ杯も準々決勝。
124-1	ブラジルＷ杯もいよいよ準々決勝。
125-1	他国を支援する余裕なんて全くないな
125-0	全く他国を支援する余裕なんてないな
127-1	明日の夜はマウナケアビジターセンターでミュージックナイト。
127-0	マウナケアビジターセンターで明日の夜はミュージックナイト。
128-0	これでぼくはいいのか？
128-1	ぼくはこれでいいのか？
129-1	同日午後３時現在で２６市町村の４万８８１２人が避難。
129-0	２６市町村の４万８８１２人が同日午後３時現在で避難。
130-1	真鍮の鍵は何に使うのですか？
130-0	何に真鍮の鍵は使うのですか？
131-1	趣味でやるにはもったいないですね＾＾；
131-0	もったいないですね趣味でやるには＾＾；
132-1	最近は１２８ＨＩＴなんてまだまだ序の口の扱いになってるっぽいわよ？
132-0	１２８ＨＩＴなんてまだまだ最近は序の口の扱いになってるっぽいわよ？
136-1	内径は７．５ｍｍが丁度いいようです。
136-0	７．５ｍｍが内径は丁度いいようです。
137-0	４０ポイントのダメージをエリルに与えた！
137-1	エリルに４０ポイントのダメージを与えた！
141-0	短時間しかまあ使えないが
141-1	まあ短時間しか使えないが
145-0	かなりアートワークもいいですね！
145-1	アートワークもかなりいいですね！
147-0	西岡はもし本当にそうなら獲ってなかったんじゃね？
147-1	もし本当にそうなら西岡は獲ってなかったんじゃね？
148-1	奥側のお皿はちょっと見えにくいのですがーー
148-0	ちょっと見えにくいのですが奥側のお皿はーー
153-0	シルビーの行儀の悪さに少しニャーミは赤面した。
153-1	ニャーミはシルビーの行儀の悪さに少し赤面した。
155-1	Ｂｌｕｅｔｏｏｔｈマウスはさらに使いにくかった。
155-0	さらにＢｌｕｅｔｏｏｔｈマウスは使いにくかった。
156-0	こちらでセット商品の詳細はご確認ください。
156-1	セット商品の詳細はこちらでご確認ください。
157-1	自習室内での飲食は一切厳禁です。
157-0	一切自習室内での飲食は厳禁です。
170-1	俺は呪文の様にアンキモを連呼する。
170-0	アンキモを俺は呪文の様に連呼する。
172-1	どうやらキャンバー角を付け過ぎていたようだ。
172-0	キャンバー角をどうやら付け過ぎていたようだ。
179-0	胡麻と雑穀ごはんに海苔
179-1	雑穀ごはんに胡麻と海苔
181-0	組合せがシェイブアイスは肝心
181-1	シェイブアイスは組合せが肝心
188-1	磨りガラスの向こうにスワローズの幟はありましたか？
188-0	スワローズの幟は磨りガラスの向こうにありましたか？
193-0	巨人の西村に柴咲こうって似てるよな？
193-1	柴咲こうって巨人の西村に似てるよな？
194-1	モチベーションでは絶対に負けませんから。
194-0	絶対にモチベーションでは負けませんから。
195-0	時間がそこまでまー取れるかが疑問だけど！
195-1	まーそこまで時間が取れるかが疑問だけど！
196-1	私もおじいちゃんが大好きなので嬉しくなりました。
196-0	おじいちゃんが私も大好きなので嬉しくなりました。
199-1	私は日本に護憲運動はないと思っています。
199-0	私は護憲運動は日本にないと思っています。
205-1	これで詠唱が止められることはないでしょう。
205-0	詠唱がこれで止められることはないでしょう。
217-0	弊社の見積りをまずは見てください。
217-1	まずは弊社の見積りを見てください。
228-0	２日間しかまだ入ってません。
228-1	まだ２日間しか入ってません。
230-0	ヨーロッパを若い頃に放浪していたそうです。
230-1	若い頃にヨーロッパを放浪していたそうです。
231-0	リンクのボールは今回は京商の物を使いました。
231-1	今回はリンクのボールは京商の物を使いました。
233-0	滋賀県の近江に今週の日曜日に行ってきます！！
233-1	今週の日曜日に滋賀県の近江に行ってきます！！
238-0	更に紫がかった色合いもうっすらと不思議さを強めてますね。
238-1	うっすらと紫がかった色合いも不思議さを更に強めてますね。
240-0	これは昔からそうとうあるジョークの改変版
240-1	これはそうとう昔からあるジョークの改変版
244-1	被り物はワンコは嫌がるのが普通ですよ。
244-0	被り物は嫌がるのがワンコは普通ですよ。
247-0	大好きなおやつだけに今回はした。
247-1	今回は大好きなおやつだけにした。
249-1	やっぱ納豆は外せないなあ。
249-0	納豆はやっぱ外せないなあ。
253-0	有名ブランドのマキシコシの商品をヨーロッパではコンビが扱っています。
253-1	ヨーロッパでは有名ブランドのマキシコシの商品をコンビが扱っています。
254-1	せめて乳の話をしませんか
254-0	乳の話をせめてしませんか
255-0	頭の中ではサンタルチアがあまりの惨状に鳴り響いている。
255-1	あまりの惨状に頭の中ではサンタルチアが鳴り響いている。
256-1	中心部に家を構えるのは困難になってきているようです。
256-0	家を中心部に構えるのは困難になってきているようです。
259-0	ラベルが黒枠に館内閲覧用はなっています。
259-1	館内閲覧用はラベルが黒枠になっています。
262-0	神崎忠義氏がそれぞれ軍部に花小路伯爵と働きかけてくださっているようだ。
262-1	花小路伯爵と神崎忠義氏がそれぞれ軍部に働きかけてくださっているようだ。
263-1	婚約会見で何を話すか？
263-0	何を婚約会見で話すか？
272-1	ヤスリとカッターでＳＶＤＳ用に最適化しました。
272-0	ＳＶＤＳ用にヤスリとカッターで最適化しました。
278-1	今年はいっぱい楽しみました。
278-0	いっぱい今年は楽しみました。
279-0	大阪は今宮戎へ今日は仕事帰りに行って来ました！
279-1	今日は仕事帰りに大阪は今宮戎へ行って来ました！
280-0	真っ白な姿を来年は見せてくれるでしょうね。
280-1	来年は真っ白な姿を見せてくれるでしょうね。
281-1	コロムビアミュージックエンタテインメントやドキュメンタリービデオでショッピングを楽しみましょう。
281-0	ショッピングをコロムビアミュージックエンタテインメントやドキュメンタリービデオで楽しみましょう。
282-0	良いところしかＳｈｏｗｃａｓｅには載らないんだよ。
282-1	Ｓｈｏｗｃａｓｅには良いところしか載らないんだよ。
283-1	あっちのスレで相当叩かれている。
283-0	相当あっちのスレで叩かれている。
284-0	君もたぶんそうだとおもうけど
284-1	たぶん君もそうだとおもうけど
289-0	ｇｋｏｊａｙからｈｉｒｏｔａｋａｊｐがリブログしました
289-1	ｈｉｒｏｔａｋａｊｐがｇｋｏｊａｙからリブログしました
298-1	帰りに下のスーパーでビールを買った。
298-0	ビールを帰りに下のスーパーで買った。
299-1	米ＭＬＢでロボットが始球式を務める
299-0	米ＭＬＢで始球式をロボットが務める
302-0	モコちゃんをその前に散歩へ。
302-1	その前にモコちゃんを散歩へ。
304-0	全く高速道路も怖くなくなったよ
304-1	高速道路も全く怖くなくなったよ
306-1	イベントの度に無償でサポートをしてくれる皆さん
306-0	サポートを無償でイベントの度にしてくれる皆さん
315-0	無理やりカブは載せてます
315-1	カブは無理やり載せてます
319-1	それでも七瀬を一目見たかった。
319-0	一目七瀬をそれでも見たかった。
322-0	船の科学館に午前中は行きました。
322-1	午前中は船の科学館に行きました。
324-0	動画再生メインだから選択肢は４５インチ以上のＴＶしか無いな
324-1	動画再生メインだから４５インチ以上のＴＶしか選択肢は無いな
328-0	伝説のアーティファクト・クリーチャーの項を詳細は参照。
328-1	詳細は伝説のアーティファクト・クリーチャーの項を参照。
330-0	とてもその時もいい雰囲気だったのが印象的。
330-1	その時もとてもいい雰囲気だったのが印象的。
336-0	イライラはみんなやめて
336-1	みんなイライラはやめて
338-0	３日ぶりに８円安と今日の平均株価は反落。
338-1	今日の平均株価は８円安と３日ぶりに反落。
342-0	少し手を取ってみると熱かった。
342-1	手を取ってみると少し熱かった。
344-0	ほとんど恵方巻は定着してますよね〜
344-1	恵方巻はほとんど定着してますよね〜
345-0	のんびり私と同じ部屋で寝ていて。
345-1	私と同じ部屋でのんびり寝ていて。
360-0	姿が橋の向こう側に見えます。
360-1	橋の向こう側に姿が見えます。
362-0	もうその条件は今はないぞ。
362-1	今はもうその条件はないぞ。
366-1	彼女はかわいいお菓子をつくる
366-0	かわいいお菓子を彼女はつくる
369-0	何処もバザールは楽しそう♪
369-1	バザールは何処も楽しそう♪
379-0	自宅でよく我輩が写すこの風景。
379-1	よく我輩が自宅で写すこの風景。
383-0	ゲスト出演なんかシンスケの番組にしちゃってたり。
383-1	シンスケの番組にゲスト出演なんかしちゃってたり。
390-1	こんなクズだけどこれからも宜しくね！
390-0	これからもこんなクズだけど宜しくね！
391-1	めんはぷりぷりとした食感でなかなか美味しかった。
391-0	めんはなかなかぷりぷりとした食感で美味しかった。
394-0	今岡がなぜ最悪と呼ばれるのか。
394-1	なぜ今岡が最悪と呼ばれるのか。
395-1	池袋エチカをうろうろしたよ
395-0	うろうろ池袋エチカをしたよ
400-1	畑から人参とキューリとインゲンを奪取してきて
400-0	人参とキューリとインゲンを畑から奪取してきて
405-0	南側要人が金正恩の親書を受けとったのは初めてだ。
405-1	金正恩の親書を南側要人が受けとったのは初めてだ。
411-0	しばらくぐるぐる頭の中をまわっている曲だろうな〜！
411-1	しばらく頭の中をぐるぐるまわっている曲だろうな〜！
414-1	ｓａｆａｒｉがかなり重くなるんだが
414-0	かなりｓａｆａｒｉが重くなるんだが
421-0	旧菊果堂前のバス停から目白駅まで帰りはバス移動。
421-1	帰りは旧菊果堂前のバス停から目白駅までバス移動。
427-0	まだケンはあずきをこの頃は諦めてないな
427-1	この頃はまだケンはあずきを諦めてないな
433-1	店員はみんなコスプレ。
433-0	みんな店員はコスプレ。
434-0	お国柄がやはり出ていて面白いですね。
434-1	やはりお国柄が出ていて面白いですね。
436-0	断然ほかと比較しても安い。
436-1	ほかと比較しても断然安い。
440-0	ここへ今度は行こう
440-1	今度はここへ行こう
443-1	ｈａｒｅｐさんはちゅもっちさんを良い出品者と評価しました。
443-0	良い出品者とｈａｒｅｐさんはちゅもっちさんを評価しました。
444-1	社会問題がより強くストーリーに盛り込まれてます。
444-0	より社会問題が強くストーリーに盛り込まれてます。
445-1	これも仕事だって自分に言い聞かせてるんだろうな
445-0	これも自分に仕事だって言い聞かせてるんだろうな
448-1	そっかこのラジオも７年目かぁ。
448-0	このラジオもそっか７年目かぁ。
451-0	その中断が呪術であるとドンファンは言った。
451-1	ドンファンはその中断が呪術であると言った。
454-0	よほど国民を馬鹿にし続けた政党より良いです。
454-1	国民を馬鹿にし続けた政党よりよほど良いです。
456-0	めっちゃうまいひとはうまい
456-1	うまいひとはめっちゃうまい
458-0	他のやつがおいおい言うなよ
458-1	おいおい他のやつが言うなよ
459-0	僕を僕も嫌ってる
459-1	僕も僕を嫌ってる
460-1	いきなり中止にしたんだよな
460-0	中止にいきなりしたんだよな
